region,year,month,date,mean_temp_k,baseline_temp_k,anomaly_k
florida,1987,1,1987-01,289.9739583333333,291.8131101190476,-1.8391517857143072
florida,1987,2,1987-02,293.41249999999997,292.74385416666667,0.6686458333333007
florida,1987,3,1987-03,293.29875,293.7823883928572,-0.4836383928571877
florida,1987,4,1987-04,295.66770833333334,295.91248511904763,-0.2447767857142935
florida,1987,5,1987-05,298.3475,298.3020089285714,0.045491071428614305
florida,1987,6,1987-06,299.79125,300.1113318452381,-0.32008184523812133
florida,1987,7,1987-07,300.70708333333334,301.2980580357143,-0.5909747023809473
florida,1987,8,1987-08,301.56104166666665,301.51613839285716,0.04490327380949566
florida,1987,9,1987-09,300.65479166666665,300.80191220238095,-0.1471205357142935
florida,1987,10,1987-10,299.079375,298.7249404761905,0.3544345238095161
florida,1987,11,1987-11,297.45520833333336,296.0454761904762,1.4097321428571377
florida,1987,12,1987-12,292.73541666666665,293.70514880952385,-0.9697321428571968
florida,1988,1,1988-01,290.18625,291.8131101190476,-1.6268601190476488
florida,1988,2,1988-02,292.65562500000004,292.74385416666667,-0.08822916666662195
florida,1988,3,1988-03,296.5,293.7823883928572,2.7176116071428282
florida,1988,4,1988-04,296.9327083333333,295.91248511904763,1.0202232142856928
florida,1988,5,1988-05,298.48895833333336,298.3020089285714,0.18694940476194688
florida,1988,6,1988-06,299.715625,300.1113318452381,-0.3957068452381236
florida,1988,7,1988-07,301.065,301.2980580357143,-0.2330580357142935
florida,1988,8,1988-08,301.33125,301.51613839285716,-0.18488839285714675
florida,1988,9,1988-09,300.630625,300.80191220238095,-0.1712872023809382
florida,1988,10,1988-10,298.60083333333336,298.7249404761905,-0.12410714285715585
florida,1988,11,1988-11,295.94625,296.0454761904762,-0.09922619047620174
florida,1988,12,1988-12,293.02020833333336,293.70514880952385,-0.6849404761904907
florida,1989,1,1989-01,290.0208333333333,291.8131101190476,-1.7922767857143072
florida,1989,2,1989-02,290.5864583333334,292.74385416666667,-2.1573958333332826
florida,1989,3,1989-03,293.7370833333334,293.7823883928572,-0.04530505952379826
florida,1989,4,1989-04,296.84499999999997,295.91248511904763,0.9325148809523398
florida,1989,5,1989-05,298.0735416666667,298.3020089285714,-0.22846726190471145
florida,1989,6,1989-06,299.72333333333336,300.1113318452381,-0.38799851190475465
florida,1989,7,1989-07,300.945,301.2980580357143,-0.35305803571429806
florida,1989,8,1989-08,301.2789583333334,301.51613839285716,-0.23718005952378007
florida,1989,9,1989-09,300.80104166666666,300.80191220238095,-0.000870535714284415
florida,1989,10,1989-10,298.38854166666664,298.7249404761905,-0.336398809523871
florida,1989,11,1989-11,295.20374999999996,296.0454761904762,-0.8417261904762654
florida,1989,12,1989-12,290.9377083333333,293.70514880952385,-2.7674404761905294
florida,1990,1,1990-01,290.06333333333333,291.8131101190476,-1.749776785714289
florida,1990,2,1990-02,291.56416666666667,292.74385416666667,-1.1796875
florida,1990,3,1990-03,294.00937500000003,293.7823883928572,0.22698660714286234
florida,1990,4,1990-04,295.58458333333334,295.91248511904763,-0.32790178571428896
florida,1990,5,1990-05,297.9433333333333,298.3020089285714,-0.3586755952380827
florida,1990,6,1990-06,299.8752083333333,300.1113318452381,-0.2361235119047933
florida,1990,7,1990-07,301.03270833333335,301.2980580357143,-0.265349702380945
florida,1990,8,1990-08,301.44458333333336,301.51613839285716,-0.07155505952380281
florida,1990,9,1990-09,300.1825,300.80191220238095,-0.6194122023809427
florida,1990,10,1990-10,299.06125000000003,298.7249404761905,0.3363095238095184
florida,1990,11,1990-11,293.6929166666667,296.0454761904762,-2.352559523809532
florida,1990,12,1990-12,293.5920833333333,293.70514880952385,-0.11306547619057028
florida,1991,1,1991-01,290.8129166666667,291.8131101190476,-1.0001934523809268
florida,1991,2,1991-02,290.1270833333333,292.74385416666667,-2.616770833333362
florida,1991,3,1991-03,292.7908333333333,293.7823883928572,-0.9915550595238756
florida,1991,4,1991-04,294.7516666666666,295.91248511904763,-1.1608184523810223
florida,1991,5,1991-05,297.30916666666667,298.3020089285714,-0.992842261904741
florida,1991,6,1991-06,299.76937499999997,300.1113318452381,-0.34195684523814407
florida,1991,7,1991-07,301.03541666666666,301.2980580357143,-0.26264136904762836
florida,1991,8,1991-08,301.09708333333333,301.51613839285716,-0.4190550595238278
florida,1991,9,1991-09,300.674375,300.80191220238095,-0.12753720238094957
florida,1991,10,1991-10,298.520625,298.7249404761905,-0.2043154761905157
florida,1991,11,1991-11,296.5133333333333,296.0454761904762,0.467857142857099
florida,1991,12,1991-12,295.2872916666667,293.70514880952385,1.5821428571428555
florida,1992,1,1992-01,295.19958333333335,291.8131101190476,3.3864732142857292
florida,1992,2,1992-02,295.038125,292.74385416666667,2.2942708333333144
florida,1992,3,1992-03,294.13625,293.7823883928572,0.3538616071428464
florida,1992,4,1992-04,296.1125,295.91248511904763,0.20001488095238074
florida,1992,5,1992-05,297.64937499999996,298.3020089285714,-0.6526339285714471
florida,1992,6,1992-06,298.734375,300.1113318452381,-1.3769568452381122
florida,1992,7,1992-07,300.12916666666666,301.2980580357143,-1.1688913690476284
florida,1992,8,1992-08,300.8183333333333,301.51613839285716,-0.6978050595238301
florida,1992,9,1992-09,300.25937500000003,300.80191220238095,-0.5425372023809132
florida,1992,10,1992-10,297.9610416666667,298.7249404761905,-0.7638988095238233
florida,1992,11,1992-11,295.35083333333336,296.0454761904762,-0.6946428571428669
florida,1992,12,1992-12,293.395625,293.70514880952385,-0.30952380952385283
florida,1993,1,1993-01,290.8477083333333,291.8131101190476,-0.9654017857143344
florida,1993,2,1993-02,290.2010416666667,292.74385416666667,-2.542812499999968
florida,1993,3,1993-03,293.7729166666666,293.7823883928572,-0.009471726190554364
florida,1993,4,1993-04,295.78916666666663,295.91248511904763,-0.12331845238099959
florida,1993,5,1993-05,298.15479166666665,298.3020089285714,-0.14721726190475692
florida,1993,6,1993-06,300.04270833333334,300.1113318452381,-0.06862351190477511
florida,1993,7,1993-07,301.0208333333333,301.2980580357143,-0.27722470238097685
florida,1993,8,1993-08,301.68895833333335,301.51613839285716,0.1728199404761881
florida,1993,9,1993-09,301.03291666666667,300.80191220238095,0.23100446428571786
florida,1993,10,1993-10,296.65479166666665,298.7249404761905,-2.0701488095238574
florida,1993,11,1993-11,295.345,296.0454761904762,-0.7004761904761949
florida,1993,12,1993-12,293.435625,293.70514880952385,-0.26952380952383237
florida,1994,1,1994-01,290.12833333333333,291.8131101190476,-1.6847767857142912
florida,1994,2,1994-02,292.04562500000003,292.74385416666667,-0.6982291666666356
florida,1994,3,1994-03,292.925625,293.7823883928572,-0.8567633928571468
florida,1994,4,1994-04,295.54604166666667,295.91248511904763,-0.3664434523809632
florida,1994,5,1994-05,297.60604166666667,298.3020089285714,-0.695967261904741
florida,1994,6,1994-06,299.734375,300.1113318452381,-0.37695684523811224
florida,1994,7,1994-07,301.1575,301.2980580357143,-0.14055803571426395
florida,1994,8,1994-08,301.38145833333334,301.51613839285716,-0.13468005952381645
florida,1994,9,1994-09,300.6754166666667,300.80191220238095,-0.12649553571424121
florida,1994,10,1994-10,298.6277083333334,298.7249404761905,-0.09723214285713766
florida,1994,11,1994-11,297.10270833333334,296.0454761904762,1.0572321428571172
florida,1994,12,1994-12,294.0058333333333,293.70514880952385,0.30068452380947974
florida,1995,1,1995-01,293.85020833333334,291.8131101190476,2.03709821428572
florida,1995,2,1995-02,293.65291666666667,292.74385416666667,0.9090625000000045
florida,1995,3,1995-03,292.82708333333335,293.7823883928572,-0.9553050595238233
florida,1995,4,1995-04,295.36562499999997,295.91248511904763,-0.5468601190476647
florida,1995,5,1995-05,298.0985416666667,298.3020089285714,-0.2034672619047342
florida,1995,6,1995-06,299.85041666666666,300.1113318452381,-0.26091517857145163
florida,1995,7,1995-07,301.7345833333333,301.2980580357143,0.4365252976190277
florida,1995,8,1995-08,301.82625,301.51613839285716,0.3101116071428578
florida,1995,9,1995-09,300.761875,300.80191220238095,-0.0400372023809723
florida,1995,10,1995-10,297.234375,298.7249404761905,-1.4905654761905112
florida,1995,11,1995-11,295.78479166666665,296.0454761904762,-0.26068452380957297
florida,1995,12,1995-12,292.0097916666667,293.70514880952385,-1.6953571428571763
florida,1996,1,1996-01,291.0627083333333,291.8131101190476,-0.7504017857143026
florida,1996,2,1996-02,292.1935416666667,292.74385416666667,-0.5503124999999613
florida,1996,3,1996-03,294.3064583333333,293.7823883928572,0.5240699404761244
florida,1996,4,1996-04,296.6658333333333,295.91248511904763,0.7533482142856656
florida,1996,5,1996-05,299.05812499999996,298.3020089285714,0.7561160714285506
florida,1996,6,1996-06,300.578125,300.1113318452381,0.46679315476188776
florida,1996,7,1996-07,301.28479166666665,301.2980580357143,-0.013266369047642002
florida,1996,8,1996-08,301.38,301.51613839285716,-0.13613839285716267
florida,1996,9,1996-09,300.62416666666667,300.80191220238095,-0.17774553571427987
florida,1996,10,1996-10,298.83104166666664,298.7249404761905,0.10610119047612443
florida,1996,11,1996-11,296.4060416666667,296.0454761904762,0.36056547619045887
florida,1996,12,1996-12,294.03812500000004,293.70514880952385,0.3329761904761881
florida,1997,1,1997-01,291.894375,291.8131101190476,0.08126488095240347
florida,1997,2,1997-02,292.98520833333333,292.74385416666667,0.24135416666666742
florida,1997,3,1997-03,294.29854166666667,293.7823883928572,0.5161532738094934
florida,1997,4,1997-04,295.3358333333333,295.91248511904763,-0.5766517857143185
florida,1997,5,1997-05,298.43249999999995,298.3020089285714,0.130491071428537
florida,1997,6,1997-06,299.5625,300.1113318452381,-0.5488318452381122
florida,1997,7,1997-07,301.044375,301.2980580357143,-0.25368303571428896
florida,1997,8,1997-08,301.22583333333336,301.51613839285716,-0.2903050595238028
florida,1997,9,1997-09,300.7275,300.80191220238095,-0.07441220238092683
florida,1997,10,1997-10,298.40416666666664,298.7249404761905,-0.320773809523871
florida,1997,11,1997-11,296.35625000000005,296.0454761904762,0.3107738095238233
florida,1997,12,1997-12,293.11854166666666,293.70514880952385,-0.58660714285719
florida,1998,1,1998-01,292.6116666666667,291.8131101190476,0.7985565476190573
florida,1998,2,1998-02,291.98854166666666,292.74385416666667,-0.7553125000000023
florida,1998,3,1998-03,292.97812500000003,293.7823883928572,-0.8042633928571377
florida,1998,4,1998-04,295.33666666666664,295.91248511904763,-0.575818452380986
florida,1998,5,1998-05,297.3722916666666,298.3020089285714,-0.9297172619047842
florida,1998,6,1998-06,299.8247916666667,300.1113318452381,-0.2865401785713857
florida,1998,7,1998-07,301.58250000000004,301.2980580357143,0.2844419642857474
florida,1998,8,1998-08,301.78208333333333,301.51613839285716,0.26594494047617445
florida,1998,9,1998-09,300.9245833333334,300.80191220238095,0.12267113095242621
florida,1998,10,1998-10,298.32708333333335,298.7249404761905,-0.39785714285716267
florida,1998,11,1998-11,295.3108333333334,296.0454761904762,-0.7346428571428305
florida,1998,12,1998-12,292.69458333333336,293.70514880952385,-1.010565476190493
florida,1999,1,1999-01,291.67583333333334,291.8131101190476,-0.1372767857142776
florida,1999,2,1999-02,293.1602083333333,292.74385416666667,0.41635416666662195
florida,1999,3,1999-03,292.14916666666664,293.7823883928572,-1.633221726190527
florida,1999,4,1999-04,295.6975,295.91248511904763,-0.21498511904763973
florida,1999,5,1999-05,298.17875,298.3020089285714,-0.12325892857143117
florida,1999,6,1999-06,300.49854166666665,300.1113318452381,0.38720982142854155
florida,1999,7,1999-07,301.78,301.2980580357143,0.4819419642856815
florida,1999,8,1999-08,301.61041666666665,301.51613839285716,0.09427827380949338
