region,year,month,date,mean_temp_k,baseline_temp_k,anomaly_k
hawaii,1987,1,1987-01,297.30799999999994,296.76125,0.5467499999999177
hawaii,1987,2,1987-02,296.78700000000003,296.44166666666666,0.3453333333333717
hawaii,1987,3,1987-03,297.20899999999995,296.4499404761905,0.7590595238094693
hawaii,1987,4,1987-04,296.39599999999996,296.7237619047619,-0.32776190476192824
hawaii,1987,5,1987-05,297.26366666666667,297.37578571428577,-0.11211904761910318
hawaii,1987,6,1987-06,298.4023333333334,298.0785119047619,0.32382142857147755
hawaii,1987,7,1987-07,298.89233333333334,298.7806785714286,0.111654761904731
hawaii,1987,8,1987-08,299.22666666666663,299.2551666666667,-0.02850000000006503
hawaii,1987,9,1987-09,299.3353333333334,299.3846190476191,-0.04928571428570194
hawaii,1987,10,1987-10,299.02933333333334,299.1541904761904,-0.12485714285708127
hawaii,1987,11,1987-11,298.55466666666666,298.32844047619045,0.2262261904762113
hawaii,1987,12,1987-12,296.69899999999996,297.4902261904762,-0.7912261904762659
hawaii,1988,1,1988-01,296.0303333333334,296.76125,-0.7309166666666442
hawaii,1988,2,1988-02,295.46666666666664,296.44166666666666,-0.9750000000000227
hawaii,1988,3,1988-03,295.72566666666665,296.4499404761905,-0.7242738095238224
hawaii,1988,4,1988-04,295.882,296.7237619047619,-0.8417619047618814
hawaii,1988,5,1988-05,296.485,297.37578571428577,-0.8907857142857551
hawaii,1988,6,1988-06,297.3163333333334,298.0785119047619,-0.7621785714285352
hawaii,1988,7,1988-07,298.1986666666666,298.7806785714286,-0.5820119047619983
hawaii,1988,8,1988-08,298.75899999999996,299.2551666666667,-0.49616666666673837
hawaii,1988,9,1988-09,299.1633333333333,299.3846190476191,-0.22128571428578425
hawaii,1988,10,1988-10,299.03833333333336,299.1541904761904,-0.11585714285706672
hawaii,1988,11,1988-11,298.02866666666677,298.32844047619045,-0.2997738095236855
hawaii,1988,12,1988-12,297.40399999999994,297.4902261904762,-0.08622619047628177
hawaii,1989,1,1989-01,296.8743333333333,296.76125,0.11308333333329301
hawaii,1989,2,1989-02,296.31000000000006,296.44166666666666,-0.13166666666660376
hawaii,1989,3,1989-03,296.216,296.4499404761905,-0.23394047619046887
hawaii,1989,4,1989-04,296.4396666666667,296.7237619047619,-0.28409523809517623
hawaii,1989,5,1989-05,297.4656666666667,297.37578571428577,0.08988095238095184
hawaii,1989,6,1989-06,298.3536666666667,298.0785119047619,0.27515476190478694
hawaii,1989,7,1989-07,298.83633333333336,298.7806785714286,0.05565476190474783
hawaii,1989,8,1989-08,299.5146666666667,299.2551666666667,0.25950000000000273
hawaii,1989,9,1989-09,299.5036666666667,299.3846190476191,0.11904761904759198
hawaii,1989,10,1989-10,298.8546666666667,299.1541904761904,-0.29952380952374824
hawaii,1989,11,1989-11,298.3923333333333,298.32844047619045,0.06389285714283233
hawaii,1989,12,1989-12,297.8426666666667,297.4902261904762,0.35244047619045205
hawaii,1990,1,1990-01,296.358,296.76125,-0.4032500000000141
hawaii,1990,2,1990-02,296.3596666666666,296.44166666666666,-0.08200000000005048
hawaii,1990,3,1990-03,296.18833333333333,296.4499404761905,-0.2616071428571445
hawaii,1990,4,1990-04,297.04233333333326,296.7237619047619,0.3185714285713743
hawaii,1990,5,1990-05,296.96366666666665,297.37578571428577,-0.41211904761911455
hawaii,1990,6,1990-06,297.71,298.0785119047619,-0.36851190476193096
hawaii,1990,7,1990-07,298.461,298.7806785714286,-0.31967857142859657
hawaii,1990,8,1990-08,298.902,299.2551666666667,-0.35316666666670926
hawaii,1990,9,1990-09,299.23066666666665,299.3846190476191,-0.15395238095243258
hawaii,1990,10,1990-10,299.3796666666667,299.1541904761904,0.22547619047628586
hawaii,1990,11,1990-11,298.1213333333333,298.32844047619045,-0.20710714285712584
hawaii,1990,12,1990-12,297.53366666666665,297.4902261904762,0.043440476190426125
hawaii,1991,1,1991-01,296.82599999999996,296.76125,0.0647499999999468
hawaii,1991,2,1991-02,296.4846666666666,296.44166666666666,0.04299999999994952
hawaii,1991,3,1991-03,296.7466666666666,296.4499404761905,0.2967261904761358
hawaii,1991,4,1991-04,297.7383333333334,296.7237619047619,1.0145714285715144
hawaii,1991,5,1991-05,298.14133333333336,297.37578571428577,0.7655476190475952
hawaii,1991,6,1991-06,298.48066666666665,298.0785119047619,0.40215476190473964
hawaii,1991,7,1991-07,299.1056666666667,298.7806785714286,0.3249880952380977
hawaii,1991,8,1991-08,299.1156666666667,299.2551666666667,-0.13949999999999818
hawaii,1991,9,1991-09,299.14433333333335,299.3846190476191,-0.24028571428573287
hawaii,1991,10,1991-10,298.74933333333325,299.1541904761904,-0.4048571428571677
hawaii,1991,11,1991-11,297.5703333333333,298.32844047619045,-0.7581071428571704
hawaii,1991,12,1991-12,296.86033333333336,297.4902261904762,-0.6298928571428632
hawaii,1992,1,1992-01,296.209,296.76125,-0.552250000000015
hawaii,1992,2,1992-02,295.784,296.44166666666666,-0.6576666666666711
hawaii,1992,3,1992-03,295.6006666666666,296.4499404761905,-0.8492738095238792
hawaii,1992,4,1992-04,296.64599999999996,296.7237619047619,-0.07776190476192824
hawaii,1992,5,1992-05,297.1636666666667,297.37578571428577,-0.21211904761906908
hawaii,1992,6,1992-06,298.31000000000006,298.0785119047619,0.23148809523814862
hawaii,1992,7,1992-07,298.61099999999993,298.7806785714286,-0.16967857142867615
hawaii,1992,8,1992-08,298.8596666666666,299.2551666666667,-0.3955000000000837
hawaii,1992,9,1992-09,298.5733333333334,299.3846190476191,-0.8112857142857024
hawaii,1992,10,1992-10,298.6036666666667,299.1541904761904,-0.5505238095237246
hawaii,1992,11,1992-11,297.7026666666667,298.32844047619045,-0.6257738095237642
hawaii,1992,12,1992-12,296.7146666666667,297.4902261904762,-0.7755595238095339
hawaii,1993,1,1993-01,296.58700000000005,296.76125,-0.17424999999997226
hawaii,1993,2,1993-02,295.513,296.44166666666666,-0.9286666666666861
hawaii,1993,3,1993-03,296.37200000000007,296.4499404761905,-0.07794047619040612
hawaii,1993,4,1993-04,296.23733333333337,296.7237619047619,-0.4864285714285188
hawaii,1993,5,1993-05,296.617,297.37578571428577,-0.7587857142857501
hawaii,1993,6,1993-06,297.11999999999995,298.0785119047619,-0.9585119047619628
hawaii,1993,7,1993-07,298.30100000000004,298.7806785714286,-0.47967857142856474
hawaii,1993,8,1993-08,298.7456666666667,299.2551666666667,-0.5095000000000027
hawaii,1993,9,1993-09,298.987,299.3846190476191,-0.39761904761905953
hawaii,1993,10,1993-10,298.98033333333336,299.1541904761904,-0.17385714285705944
hawaii,1993,11,1993-11,298.2293333333334,298.32844047619045,-0.0991071428570649
hawaii,1993,12,1993-12,297.871,297.4902261904762,0.3807738095237596
hawaii,1994,1,1994-01,296.96000000000004,296.76125,0.1987500000000182
hawaii,1994,2,1994-02,296.93333333333334,296.44166666666666,0.49166666666667425
hawaii,1994,3,1994-03,296.9263333333333,296.4499404761905,0.4763928571427982
hawaii,1994,4,1994-04,296.43699999999995,296.7237619047619,-0.2867619047619314
hawaii,1994,5,1994-05,297.34766666666667,297.37578571428577,-0.0281190476191
hawaii,1994,6,1994-06,298.13933333333335,298.0785119047619,0.0608214285714439
