region,year,month,date,mean_temp_k,baseline_temp_k,anomaly_k
kansas,1987,1,1987-01,272.5808333333334,273.8910863095238,-1.3102529761904407
kansas,1987,2,1987-02,280.0225,276.93171130952385,3.0907886904761313
kansas,1987,3,1987-03,280.2170833333334,281.64933035714284,-1.4322470238094525
kansas,1987,4,1987-04,285.3045833333333,287.09909226190473,-1.7945089285714175
kansas,1987,5,1987-05,289.4733333333333,291.7056547619048,-2.232321428571481
kansas,1987,6,1987-06,295.335,295.9553273809524,-0.6203273809524035
kansas,1987,7,1987-07,297.82416666666666,299.0083333333333,-1.1841666666666697
kansas,1987,8,1987-08,298.44166666666666,300.15651785714283,-1.7148511904761676
kansas,1987,9,1987-09,295.4454166666667,296.19675595238095,-0.7513392857142662
kansas,1987,10,1987-10,288.25875,288.2441964285714,0.014553571428621126
kansas,1987,11,1987-11,279.94458333333336,280.99864583333334,-1.0540624999999864
kansas,1987,12,1987-12,274.0758333333333,275.0672470238095,-0.991413690476179
kansas,1988,1,1988-01,273.15708333333333,273.8910863095238,-0.7340029761904816
kansas,1988,2,1988-02,277.7783333333333,276.93171130952385,0.8466220238094593
kansas,1988,3,1988-03,279.1870833333333,281.64933035714284,-2.462247023809539
kansas,1988,4,1988-04,283.545,287.09909226190473,-3.5540922619047137
kansas,1988,5,1988-05,292.3,291.7056547619048,0.5943452380952294
kansas,1988,6,1988-06,294.4583333333333,295.9553273809524,-1.4969940476190686
kansas,1988,7,1988-07,299.09708333333333,299.0083333333333,0.08875000000000455
kansas,1988,8,1988-08,298.43291666666664,300.15651785714283,-1.723601190476188
kansas,1988,9,1988-09,292.6608333333333,296.19675595238095,-3.5359226190476534
kansas,1988,10,1988-10,286.90416666666664,288.2441964285714,-1.3400297619047592
kansas,1988,11,1988-11,281.81874999999997,280.99864583333334,0.8201041666666242
kansas,1988,12,1988-12,272.37916666666666,275.0672470238095,-2.6880803571428373
kansas,1989,1,1989-01,273.49666666666667,273.8910863095238,-0.3944196428571445
kansas,1989,2,1989-02,277.34625,276.93171130952385,0.41453869047614944
kansas,1989,3,1989-03,283.10166666666663,281.64933035714284,1.452336309523787
kansas,1989,4,1989-04,287.51208333333335,287.09909226190473,0.4129910714286211
kansas,1989,5,1989-05,289.70708333333334,291.7056547619048,-1.998571428571438
kansas,1989,6,1989-06,291.8175,295.9553273809524,-4.137827380952388
kansas,1989,7,1989-07,298.41833333333335,299.0083333333333,-0.589999999999975
kansas,1989,8,1989-08,296.8520833333333,300.15651785714283,-3.3044345238095048
kansas,1989,9,1989-09,294.9425,296.19675595238095,-1.2542559523809587
kansas,1989,10,1989-10,288.8120833333333,288.2441964285714,0.567886904761906
kansas,1989,11,1989-11,279.64625,280.99864583333334,-1.3523958333333326
kansas,1989,12,1989-12,274.83666666666664,275.0672470238095,-0.23058035714285552
kansas,1990,1,1990-01,274.7870833333333,273.8910863095238,0.8959970238095138
kansas,1990,2,1990-02,274.9691666666667,276.93171130952385,-1.9625446428571536
kansas,1990,3,1990-03,282.3795833333333,281.64933035714284,0.7302529761904566
kansas,1990,4,1990-04,286.11875000000003,287.09909226190473,-0.9803422619046955
kansas,1990,5,1990-05,290.95458333333335,291.7056547619048,-0.7510714285714357
kansas,1990,6,1990-06,296.7425,295.9553273809524,0.7871726190476238
kansas,1990,7,1990-07,298.44166666666666,299.0083333333333,-0.5666666666666629
kansas,1990,8,1990-08,299.6116666666667,300.15651785714283,-0.5448511904761517
kansas,1990,9,1990-09,293.3933333333334,296.19675595238095,-2.8034226190475806
kansas,1990,10,1990-10,285.0525,288.2441964285714,-3.1916964285713902
kansas,1990,11,1990-11,278.19374999999997,280.99864583333334,-2.8048958333333758
kansas,1990,12,1990-12,274.77624999999995,275.0672470238095,-0.2909970238095525
kansas,1991,1,1991-01,270.06166666666667,273.8910863095238,-3.8294196428571468
kansas,1991,2,1991-02,276.5741666666667,276.93171130952385,-0.3575446428571354
kansas,1991,3,1991-03,282.89458333333334,281.64933035714284,1.2452529761904998
kansas,1991,4,1991-04,284.9920833333333,287.09909226190473,-2.1070089285714175
kansas,1991,5,1991-05,292.02166666666665,291.7056547619048,0.316011904761865
kansas,1991,6,1991-06,294.64958333333334,295.9553273809524,-1.3057440476190436
kansas,1991,7,1991-07,297.945,299.0083333333333,-1.0633333333333326
