region,year,month,date,mean_temp_k,baseline_temp_k,anomaly_k
washington,1987,1,1987-01,270.43541666666664,271.98311011904764,-1.5476934523809973
washington,1987,2,1987-02,272.00416666666666,273.18596726190475,-1.1818005952380872
washington,1987,3,1987-03,274.16541666666666,276.71316964285717,-2.547752976190509
washington,1987,4,1987-04,279.52833333333336,280.24651785714286,-0.7181845238094979
washington,1987,5,1987-05,284.4608333333333,285.1485863095238,-0.6877529761904952
washington,1987,6,1987-06,288.37791666666664,289.0886458333333,-0.7107291666666811
washington,1987,7,1987-07,291.00124999999997,292.189806547619,-1.1885565476190436
washington,1987,8,1987-08,292.25208333333336,291.27175595238094,0.9803273809524171
washington,1987,9,1987-09,286.7375,286.9923363095238,-0.254836309523796
washington,1987,10,1987-10,280.18916666666667,281.9270684523809,-1.7379017857142571
washington,1987,11,1987-11,270.2058333333334,276.1007886904762,-5.8949553571428055
washington,1987,12,1987-12,269.73625,272.1713392857143,-2.435089285714298
washington,1988,1,1988-01,272.00916666666666,271.98311011904764,0.026056547619020876
washington,1988,2,1988-02,271.42791666666665,273.18596726190475,-1.7580505952381031
washington,1988,3,1988-03,271.52708333333334,276.71316964285717,-5.18608630952383
washington,1988,4,1988-04,278.8095833333333,280.24651785714286,-1.4369345238095548
washington,1988,5,1988-05,284.3958333333333,285.1485863095238,-0.752752976190493
washington,1988,6,1988-06,289.51,289.0886458333333,0.42135416666667425
washington,1988,7,1988-07,290.83708333333334,292.189806547619,-1.3527232142856747
washington,1988,8,1988-08,289.8883333333333,291.27175595238094,-1.3834226190476215
washington,1988,9,1988-09,288.11833333333334,286.9923363095238,1.125997023809532
washington,1988,10,1988-10,280.56666666666666,281.9270684523809,-1.3604017857142594
washington,1988,11,1988-11,277.4895833333333,276.1007886904762,1.3887946428571354
washington,1988,12,1988-12,268.88625,272.1713392857143,-3.285089285714264
washington,1989,1,1989-01,272.93458333333336,271.98311011904764,0.951473214285727
washington,1989,2,1989-02,275.6504166666667,273.18596726190475,2.464449404761922
washington,1989,3,1989-03,277.74583333333334,276.71316964285717,1.03266369047617
washington,1989,4,1989-04,280.54875,280.24651785714286,0.30223214285712174
washington,1989,5,1989-05,285.0625,285.1485863095238,-0.08608630952380736
washington,1989,6,1989-06,291.90083333333337,289.0886458333333,2.81218750000005
washington,1989,7,1989-07,291.5733333333333,292.189806547619,-0.6164732142856906
washington,1989,8,1989-08,290.53041666666667,291.27175595238094,-0.7413392857142753
washington,1989,9,1989-09,286.85375,286.9923363095238,-0.13858630952381645
washington,1989,10,1989-10,280.0229166666667,281.9270684523809,-1.904151785714248
