lat,lon,tas_k,dtas_k_per_mo
-59.842934,-170.0,275.87,-2.13
-59.842934,-168.75,275.8,-2.1
-59.842934,-167.5,275.72,-2.09
-59.842934,-166.25,275.64,-2.08
-59.842934,-165.0,275.54,-2.08
-59.842934,-163.75,275.44,-2.06
-59.842934,-162.5,275.33,-2.04
-59.842934,-161.25,275.23,-2.0
-59.842934,-160.0,275.14,-1.96
-59.842934,-158.75,275.06,-1.9
-59.842934,-157.5,274.97,-1.84
-59.842934,-156.25,274.89,-1.75
-59.842934,-155.0,274.83,-1.66
-59.842934,-153.75,274.78,-1.56
-59.842934,-152.5,274.78,-1.47
-59.842934,-151.25,274.79,-1.39
-59.842934,-150.0,274.81,-1.3
-59.842934,-148.75,274.82,-1.25
-59.842934,-147.5,274.84,-1.22
-59.842934,-146.25,274.89,-1.2
-59.842934,-145.0,274.94,-1.19
-59.842934,-143.75,275.01,-1.18
-59.842934,-142.5,275.09,-1.17
-59.842934,-141.25,275.19,-1.16
-59.842934,-140.0,275.33,-1.12
-59.842934,-138.75,275.48,-1.07
-59.842934,-137.5,275.65,-1.01
-59.842934,-136.25,275.81,-0.96
-59.842934,-135.0,275.95,-0.92
-59.842934,-133.75,276.05,-0.91
-59.842934,-132.5,276.16,-0.87
-59.842934,-131.25,276.26,-0.8
-59.842934,-130.0,276.35,-0.74
-59.842934,-128.75,276.44,-0.68
-59.842934,-127.5,276.54,-0.64
-59.842934,-126.25,276.62,-0.62
-59.842934,-125.0,276.67,-0.61
-59.842934,-123.75,276.7,-0.62
-59.842934,-122.5,276.7,-0.63
-59.842934,-121.25,276.68,-0.65
-59.842934,-120.0,276.66,-0.66
-59.842934,-118.75,276.66,-0.66
-59.842934,-117.5,276.68,-0.63
-59.842934,-116.25,276.72,-0.59
-59.842934,-115.0,276.76,-0.54
-59.842934,-113.75,276.78,-0.49
-59.842934,-112.5,276.81,-0.48
-59.842934,-111.25,276.86,-0.44
-59.842934,-110.0,276.89,-0.43
-59.842934,-108.75,276.92,-0.42
-59.842934,-107.5,276.93,-0.43
-59.842934,-106.25,276.94,-0.44
-59.842934,-105.0,276.95,-0.44
-59.842934,-103.75,276.99,-0.42
-59.842934,-102.5,277.03,-0.4
-59.842934,-101.25,277.04,-0.41
-59.842934,-100.0,277.07,-0.43
-59.842934,-98.75,277.08,-0.46
-59.842934,-97.5,277.09,-0.48
-59.842934,-96.25,277.1,-0.48
-59.842934,-95.0,277.11,-0.46
-59.842934,-93.75,277.14,-0.43
-59.842934,-92.5,277.18,-0.39
-59.842934,-91.25,277.23,-0.36
-59.842934,-90.0,277.28,-0.36
-59.842934,-88.75,277.29,-0.36
-59.842934,-87.5,277.3,-0.36
-59.842934,-86.25,277.3,-0.35
-59.842934,-85.0,277.31,-0.34
-59.842934,-83.75,277.32,-0.34
-59.842934,-82.5,277.32,-0.34
-59.842934,-81.25,277.33,-0.35
-59.842934,-80.0,277.34,-0.35
-59.842934,-78.75,277.36,-0.33
-59.842934,-77.5,277.39,-0.31
